Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"AMBUJACEM","226.75","231.40","226.45","230.95","4.80","2.12","27.86","63.93","252.75","188.35","-2.24","7.67"
"GRASIM","809.00","831.95","808.25","824.05","17.00","2.11","9.60","78.75","1,131.00","689.10","-25.13","12.34"
"PETRONET","236.95","240.00","235.00","238.80","4.90","2.09","41.76","99.50","249.80","202.05","1.44","8.82"
"BAJAJFINSV","6,616.50","6,780.00","6,612.25","6,754.20","137.25","2.07","1.75","117.63","7,200.00","4,800.00","38.84","8.79"
"CENTURYTEX","860.55","877.00","858.05","873.90","17.60","2.06","2.46","21.42","1,274.00","705.50","-25.39","14.55"
"HAVELLS","729.45","746.00","728.50","742.75","14.90","2.05","16.42","121.73","754.25","483.65","47.80","0.71"
"SBIN","285.30","289.00","283.50","286.90","5.70","2.03","163.24","468.92","326.40","232.35","11.72","-0.74"
"CADILAHC","326.95","333.70","325.00","331.55","6.60","2.03","5.63","18.59","432.50","305.95","-14.75","4.28"
"IBULHSGFIN","709.50","720.90","705.50","716.15","14.15","2.02","47.53","339.66","1,397.00","575.35","-40.63","9.53"
"CANBK","255.90","262.95","255.65","259.00","5.00","1.97","35.84","93.26","302.30","204.75","3.13","9.93"
"JUBLFOOD","1,347.00","1,374.00","1,341.00","1,365.60","26.00","1.94","11.92","161.57","1,578.00","977.00","-32.07","5.55"
"ADANIPORTS","343.20","350.50","342.15","348.70","6.55","1.91","19.28","67.07","415.65","292.10","-10.12","5.55"
"OIL","173.60","178.50","173.50","177.00","3.30","1.90","13.19","23.29","247.50","165.10","-45.80","3.30"
"WOCKPHARMA","424.00","433.50","423.00","429.75","7.95","1.88","7.80","33.46","852.65","380.35","-43.65","7.44"
"AUROPHARMA","739.55","751.80","737.00","749.50","13.65","1.85","13.93","104.04","830.45","527.00","27.21","-1.36"
"M&MFIN","436.20","449.30","436.20","443.95","8.00","1.84","11.84","52.75","534.00","342.65","5.94","10.60"
"ESCORTS","732.70","747.00","730.05","743.20","13.35","1.83","11.19","83.05","1,017.70","541.00","-13.11","8.67"
"GODFRYPHLP","948.50","968.00","943.10","963.50","17.25","1.82","1.90","18.20","998.00","640.25","19.14","-0.46"
"RELIANCE","1,270.05","1,295.00","1,268.00","1,289.75","22.65","1.79","61.76","794.74","1,329.00","880.00","41.51","-1.56"
"GMRINFRA","16.95","17.25","16.90","17.15","0.30","1.78","67.21","11.47","21.50","12.95","-1.15","13.20"
"MARUTI","6,980.00","7,121.60","6,975.00","7,092.00","124.30","1.78","5.11","361.34","9,929.00","6,317.70","-18.76","-1.27"
"VGUARD","213.00","219.65","213.00","217.50","3.75","1.75","3.95","8.58","254.90","159.40","-5.84","14.11"
"MCX","730.20","745.45","729.60","740.40","12.70","1.75","1.71","12.69","917.95","643.50","-0.49","6.84"
"M&M","671.95","683.85","671.50","681.90","11.75","1.75","27.23","185.12","993.00","615.60","-6.16","-1.90"
"YESBANK","233.00","238.00","231.60","236.35","4.05","1.74","162.35","382.76","404.00","146.75","-23.40","33.95"
"ONGC","151.55","154.30","151.10","153.00","2.60","1.73","103.42","158.34","192.00","127.60","-15.07","4.29"
"SIEMENS","1,023.00","1,044.85","1,023.00","1,041.30","17.45","1.70","4.07","42.39","1,154.00","850.25","-5.52","2.03"
"PNB","84.10","86.45","84.10","85.20","1.40","1.67","171.49","146.57","106.75","58.45","-11.85","13.30"
"RAYMOND","813.35","825.60","808.10","821.50","13.35","1.65","4.96","40.66","1,153.00","593.00","-9.38","15.53"
"ULTRACEMCO","3,975.50","4,044.70","3,955.65","4,037.45","65.45","1.65","3.09","123.55","4,493.65","3,260.45","-2.00","15.02"
"JSWSTEEL","289.40","293.40","287.15","291.10","4.70","1.64","57.14","165.91","427.55","256.60","0.64","4.22"
"SHREECEM","17,680.00","17,940.00","17,637.25","17,915.00","285.60","1.62","0.22","39.55","19,290.00","13,100.00","11.28","11.75"
"LUPIN","780.80","797.00","779.25","791.45","12.30","1.58","11.04","87.08","986.10","723.65","2.63","-6.01"
"DCBBANK","196.70","199.90","196.05","199.05","3.05","1.56","11.90","23.64","204.60","139.85","22.98","10.86"
"GODREJCP","710.50","726.80","710.50","718.95","10.95","1.55","12.07","87.02","978.67","634.00","-32.63","1.94"
"JPASSOCIAT","6.55","6.75","6.50","6.65","0.10","1.53","173.71","11.53","22.05","4.70","-54.45","29.13"
"TATACHEM","580.10","589.60","580.00","586.70","8.80","1.52","12.24","71.59","787.50","550.10","-15.59","-1.30"
"CEATLTD","1,133.60","1,153.90","1,126.45","1,143.00","16.95","1.51","3.88","44.44","1,665.90","985.85","-25.99","4.09"
"DABUR","434.30","443.40","432.70","438.70","6.50","1.50","12.53","55.08","490.65","311.95","34.96","-3.31"
"NBCC","57.40","58.55","57.20","57.90","0.85","1.49","42.19","24.43","216.30","47.20","-68.85","7.82"
